id,time,pontos,jogos,golsfeitos,golsofridos,vitorias,derrotas,empates
1,America-MG,4,2,2,1,1,0,1
8,Cruzeiro,4,2,3,2,1,0,1
11,Fluminense,4,2,2,1,1,0,1
13,Goias,6,2,3,1,2,0,0
17,RBBragantino,6,2,3,1,2,0,0
2,Athletico-PR,2,2,3,3,0,0,2
3,Atletico-MG,2,2,1,1,0,0,2
5,Botafogo,1,2,1,2,0,1,1
7,Coritiba,1,2,1,3,0,1,1
12,Fortaleza,2,2,3,3,0,0,2
14,Gremio,1,2,2,3,0,1,1
6,Corinthians,4,2,1,0,1,0,1
16,Palmeiras,1,2,0,1,0,1,1
19,SaoPaulo,1,2,1,2,0,1,1
20,Vasco,1,2,1,2,0,1,1
4,Bahia,3,2,3,2,1,1,0
10,Flamengo,1,2,2,3,0,1,1
9,Cuiaba,3,2,1,1,1,1,0
15,Internacional,1,2,1,2,0,1,1
18,Santos,3,2,2,2,1,1,0